id,work,date,issue,page,block,text,label,label_grouped
200,debats,1854_09_16,1,3,P3_TB00021,"rMttrtttrA wm±s lombardo-vénitien, 93. 1     |nunL Henli-d le 13 septembre. Quatre et demi pour 100 9b; Quatre pour 100, 03 1/4; Actions de la Banque, l llo   F> ansfart, .3 13 septembre. Cinq pour 100, 72 1/4- Oua- Dn l ,r e ioo l 4 l ? n loo   P 3 ?  - Liare Pour 100, 57; Trois pow loo p 3a ; Deux et demi pour 100 , 35; Un pour 100 14 3;4 ; Aclions de la Banque, 1197. P   Amsterdam, ie 13 septembre. — Intégrales lIPIIY PÏ ,I» m i pour 100, G 0 1/2; Trois pour 100, 72 /S f Quatrefour 3/4 ; 1 roisjjour 100 portugais, 36 7/8 ; Trois pour 10 i es rvi 37 3/4 ; Trois pour 100 intérieur, 33 1/3 • rjn pour 100 nouveau, 18 11/16; Coupons, 5 3/3   l ? ,B Pf«f ôr f- - Quatre et demi pour 100 1353, 90 3/4; Quatre et demi pour 100, 1854, 94 3/4 • r>, , 4 ei demi pour 100, 52 5/16; Actions de la Banque 90 1/4",cours,bourse/cours/commerce
201,constitutionnel,1857_11_02,1,3,Page1_Block102,"v . , Rentes françaises. ■ . . 0/5, jouissance 22 juin . . f.i l/2 o/o, jouissance 22 sept........... l t Non remboursable pendant 10 ans... 4 0/0, jouissance 22 sept i 4 1/2 0/0, ancien, jouissance 22 sept.... banque de France , jo uissance juillet.... D» 550 fr, pay#s, jouissance, juillet.. dùp. db la. skinb, emprunt 1857......... Oblig. de 9-f..de rente, 100 fr. 30 payés crédit foncier de france, jouiss, juillet société générale du crédit mobilier.. . Jouissance juillet- comptoir d escompte , jouissance .a-oùt... ChomlBS do rçr. , . origans , jouissance oot - nord , jouissance juillet.. ;.. ;........... nord , actions nouvelles, jouiss. juillet.. (Emission à. 575 fr., 200 fr. payos.... bst , actions anciennes/jouiss. mai... .v est , actions nouvelles,-jouiss-. mai.-;;... PARIS a LYON ât MÉDITERRANÉE, t. payé.. paris a lyon et méditerranée, nouveau ~ (Emission à 735 fr..■ 250 fr, pavés...... midi , i jojiissance > juillet .j........... ouest , jouissance ,.oct,....... . GRAND-CENTRAL DE 1fRU(CE,.j.9UisS,.juillet. fcvos s GEJièv8,..-joUissancÈ juillôt . , . fÀ.. SOCIÉTÉ AUTRlCttlENNB, jouiss. juillet, .j.. GRAlSSIiSSAC a BÊZ1ERS, jOUiSSi OCt.-..:.. ..; • f.»._ - ! î ;- s ? sa1nt-rambert ;i grenoble, JOlliss, jUlll. ••(Actionsde 500fr., 300 fr; payés).-..-  ..  ardennes et l*oise ,jou&ïattcef juilie t. i : : Tout.payé abon.nfies.et l oisb ^ nouveau.,.....,i . 250  tr. nayfs,jouiss.juiliét,  viéTOR-EumANi Ec, jouissance juin.. .. j; . (AçUons.de goo lr.v230.dr, payés).. .C; GRADUE COMPAGNIE! RCSS£. «....,  ■ (Actions de 500 fr:, 130 fr. pavés)..;. ! bordeaux a la teste",cours,bourse/cours/commerce
202,siecle,1850_08_16,1,1,Page1_Block38,"Bulletin commercial. HUILES.—Paris, 16 août.—Colza disponible et cou rant du mois 95 »» ; épurée 103. Lilla. — Huile de colza 81 à 80 75; d œillette rous se 82: de caméline 85 75; de chanvre 86. Bailleul, 14 août. — (. huile de colza tond a la hausse : 81 lr. 35, d œillette rousse 81 à 82, de lin 89, de caméline 84 50. ■   • Caen, 14 août. — Huile-de colza brute ai à 92 fr. les 100 kil. avec fût: épurée 98. Les huiles de colza sont 1res recherchées, ainsi que les graines. On embarque toujours pour-Dunkerque et la Belgique. Strasbourg; 12 août. — Huile de colza 100 fr. les 100 kil. sans fût. ;   Lille, 14 août.—Huile de colza 80 fr. 75 l hect.; de Tin 88 hO; d œillette rousse 8-2. surfine 88; de camé line 85 75; chanvre 88. Huile épurée your quinquels 85 7.5 à 80, comptant sans escompte. Arras, 14 août —; Huile de colza 83 à 82 50; pour, quinquets 83. GRAINES OLEAGINEUSES.— Paris, 16 août. — La demande est un- peu moins animée qu il y a une quinzaine ; cependant, lés prix restent tenus com me précédemment, de 35 à 36 fr. l hect. 1(2. Caen, 14 août. — Graine de colza 23 à 23 fr. 50 l hec^. Bailleul, 14 août. — Hausse de 1 fr. par hect. sur le colza, qui vaut 21 à 25 fr.; œillette 21 à 22 75; lin 20 à 24 58; caméline 21 a 22 50. Strasbourg, 12 août. Prix sans changement : 24 à 24 ff. 75 la graine de colza. Lille, 14 août. — Colza l hect. 22 à 25, nourplle graine 21 à 25 50; œillette 21 50 à 23; lin 22 à 24 50; chanvre 13. Arras, 14 août.—Colza nonv. 22 à 25 50. SAVONS.—Paris, 16 août.—Savon disponible belle qualité 95 »»; ordre de livraison 96. CUIRS. — Paris, 16 août. — Rien de nouveau au jourd hui à notre halle aux cuirs. Les prix restent les mêmes que la semaine dernière. Affaires cou rantes seulement. cuirs fabriqués. Cuirs jusée acidé (le k.) 2»» 2 20 — sans acide 2 20 2 50 — Buénos- Ay res 1 80 2 »» ■ — ■ — sans acide.... 2 10 2 25 Bœuf en croûte 1 65 1 85 Vache encroûte 1 85 2 10 — légère 2 »» 2 10 — étirée 2 10 2 30 Veau en croûte 2 70 3 30 — sec d huile... 2 50 3 40 Cheval en croûte 1 50 1 70 Cuir de Hongrie..... 120 130",cours,bourse/cours/commerce
203,debats,1860_11_07,1,3,P3_TB00030,"  SHWBSjggHgH^ggHÉÉßiaHgHßgpgiiHgßß flaile decolsa. Disponi ble tout fût, 110 fr. .. c.; en tonnes, 111 fr. 50 c.; épurée, en tonnes, 119 fr. 50 c.; lin en fûts, 93 fr. . c,; en tonnes, 94 fr. 50 c.; œillet le commune, t! 9 fr.; bon gofii, 145 fr, h ... fr.   Colza. - Lille, 10i ..c.; Ro en, 107 f?, ~ C,; Caen, lu 6 fr... c. Esprits,— Montpellier, disponible, 86 degrés, l hectolitre, 140 fr.; dito fin, 1 qualité. 90 ûesrés, l hectolitre, 100 ft. à ... fr. Blé (les 120 kilogr. brut). Têtes, 37 fr. 50 c. k .. fr. . c.; t r * qualité, 36 fr. 50 c. k . fr. . c ; 2 qualité,-34 fr. ~ c. k . fr. Farines (le sac de 157 kilogr.t. Disponible, 81 fr. 50 c ; courant du mois, 61 fr. 25 c.; décembre, 61 fr. . c. k.. fr. . c.; quatre premiers mois de. 1861, 6J fr. 75 c. k.. fr... c, Savons (escompte, 3 pour 100). Blèu pâle, ferme. 94 fr. ... c. k . fr.; dito moyen, 93 fr, . <* ; blanc, 1™ qualité, 118 fr ... c.; 2 e qualité, 113 (r. Suifs. - De France, 140 fr. 50 c,; de Russie, 146 fr. Suent. Martinique  ôt Gsacielbup a, bonne 4% 105 fr, k ... ir.i indigène, bonne 4®, en entrepôt, 74 fr. k.. fr. Cafés. Haïti, 2 fr.  20 c. k . fr. ~ c.;  Moka, 2 tr. 60c. k2 fr &f) c. . .",cours,bourse/cours/commerce
204,le_pays,1858_11_17,1,3,PAG_3_TB000104,"Ilî» ,, ..j ....iBAWDtOt *Sàs£5-,t58 CP£,1 ?? jr » - >.3150 r; 1847-49 5 /f j. Jufti ......; 9«5 î * ,.| v  i--.  *? f t î i \ ïlavre, 1846 5 0/0 j. Sept ..... 900 ., r ,:6 « .. , lONCIEilJ.,JuW «w-.  1 ! . ?«  2 50 | ) - 1848 6 0/0 j. Juillet........-.1025 ... t h.  . d ..  ) oaveh  * SOc.  ? e )  à ? ii I Strasi). i Bâ;eJ845 .1. octob. 950 ..i 950 .. .£ 902 50: 12 511 \ ....! CRÉDIT MOBILIt:B loui^ Cpt i «g» \\^ : ; ;  î» f - » ^ £ t Lyou, 5 U/C j. UctQb. 1858. ! 1017, 50 ( ?iSî-50 11 501 ,. Janvier 1858  ....... 9®° #. il-Fif ia; 9 S i . A(Vili ...à , ..jô 2 .. -n»..Ouest.- ts5b j. Déceuiç. 1^53; ....-i.VtôO j. | 6>7 àQ a .. 2 50t^r>«PTO.th WESC.OMPTF.. cpt.4 , ?»   ? j  i i  ,1,:  \ï ? ,1852-53-54. j. h 185$ ., » i,; î Attût 1858.... 30c.1 -... V  »- H     ,   .. P,:j .  -f   i â  i 52-54-56, j. Juin 18m, i 497 50 500 .. S vw>..I lo ,.| ....iwauAits, j. oct. 1858.., ciH.il-sw» .rfr, -- f,     - L ! S « ..",cours,bourse/cours/commerce
205,debats,1856_07_27,1,3,P3_TB00033,CI2â.SÎ6tES. A VUE. 1 jrouas. Papier. Argent. Papier. Argenté Arnsierdam Anvers 2127/3 .. / 2107/8 .. Hambourg..- 189./. i/o U/l) P Berlin 370 ! lob 1/2 .. Londres Madrid /. 25 27 1/2 5 271/2 365./. . „ 25 21/2 5 22 1/2 Cadix 5 9 7 î/° Bilbao 5 271  2 * 5 22 1/2 Lisbonne ;. 5 6° 1 /*> o 22 1/2 Porto 5 G 9 1 /° o 0 7 1/2 Gênes 1/4 • O o7 1/2 Livourne.. : 851/4 1 1/2 . » Nantes J 405./. .. Paierme ..../... Messine 14 .. ./.• Vienne 14 .. ./. î rieste 2481/2 Venise. •. 85 1 /2 240 ./. Milan   86 / Auguste 253 1 /2 843/4 Francfort.... 019 1/9 Pélershourg 400./. .. A.1U 1 /2 . .  ,cours,bourse/cours/commerce
206,presse,1849_12_10,1,3,Page1_Block36,"5,658 voyag., 31,101 20 marchand. 27,636 2î ,   . 58,737 44   ,   •   ou 341 49 par k. • .r • ■ , ou 335 52 par k. : Ex. Cour.,  3,002,225 77 El. cor., 2.612 320 78 • ou. 17,833 6Î par k. . ou 15,187 91 par k. BOEDHius, du 25novembre au 1 er décembre; En 1849 (115 k. en expl.) En 1848 (115 k. en exnl.) 6,208 voyag., 27,739 45 voyag-et . - r *. marchand., 42,517 45 march. 71,800 48 .70,310 90 , .  T  otl 611 45 par k. -    ou 62i 35 par i\   Exercice du 1 er juillet au 1er déc. 1849:1,762,898 tr. 66 c., ou 15,329 fr. 55 par k. —Exerc. corresp., 1,530,525 fr. 92 e., ou 13,309 fr. 4î par k. Mois de iiov. 1859 : 338,627 70 ou 2,9i4 58 par k. — 1848- : 333,685 46 ou 2,901 61 par k. rqbex , du 23 novembre au l« r décembre. -   En. 1849 (137 k. en expl.) En 1848 (137 k. en expl.)",cours,bourse/cours/commerce
207,debats,1842_04_22,1,3,P3_TB00027,"T Frem. | Fini Fiai liera, cour», haut., bai. cours Report du comptant a la fin du moit. TROIS... 5 ./. .. ./. Id. 1841. .. ./. .. ./. QUATRE. .. ./■ .. •/. TROÛ 0/0 en iig.. Fin eonrant... Frime fin cou- 81 30 81 35 81 25 éî 35 rant Frime fin pre- éhain... 81 30 81 40 d. 50 .... 81 65 81 75 81 80 d. 50 CINQ.. .. 2 1/2 5 ./. NIPLES. V. ./. .. ./. ROME /. .. /• Emp.1841.Finc. Prime fin conr. CINQ 0/0 en ilq... Fin eonrant... Frime fin cou- 81 50 81 50 81 45 81 45 fi---. •• •- •• •• •• d - •• iiô 15 iiÔ25 iioià iiô 25 D un moit i l autre. TROIS... 25 ./. 27 1/2 Id. 1841.15 ./. 17 1/2 QUATRE. .. ./- .. ./• CINQ.... 37 1/2 .. ./. , Frime fin pre- ahaln........ ROMS /. .. ./• KApunenllG.... Fin courant... S 0/0 SBLSB BMP. ROM DBT. ACT. D BSP.. 30/0 POfiTUG.... 5 0/0 PORTOS.... O. MISOiUSTB».. COULISSE ▲TINT LA BOUR0B. 8lf 30 à gif 27 1/2 A i HEURES. 8lf 35 à 81f 32 1/2",cours,bourse/cours/commerce
208,debats,1857_03_04,1,3,P3_TB00014,". Mines de Stolberg . Forges de l /Vveyi on   de OliàiiUon j 2 - d Alais ! . M. Grand Cnmhe., ■ de la Loire Monceaux-sur-S . Société Gail > Usines Septèmes ) LinMaberly ) Société Gavé . Goixin et C° , Lits militaires , . Glacesd Aiyig-Gii. ... ..   —dç MôutiiiÇ.on.. . 0 paris. do Gaz... 727 50, e lc d éclairage et , olvuiil ,parlogaj. .. Union dos Gaz 202 50 Soc. des Omnibus. 020 .. G des Voitures de Paris 08 75 Palais de cristal... 70 2? Soc. rue de Rivoli,. iOt 2-5 G» g des î&m.-. .. 227 50 Ç.uftWH<*trançuls .. 21 25 i fi Franco-Valérie,, ad. estampillas Il non ofiarnpul Jouiss, (POrléaus Services maril. des Messageries 1185 .. S.g u deStéarinerie S.n 11 d Herserange ... ~ Houiil. ei cii. de l or Garni,-Toulouse.. 132 50 liességes à Mais... 275 .. 1",cours,bourse/cours/commerce
209,siecle,1851_06_14,1,1,Page1_Block51,"Balletia commercial. Halles. — Paris,lSjuity.—Huile decolza disponi ble et courant du mois 77 »», épurée 85 »». Lille, 12 juin.—Assez bonne demande pour l huile de colza : l heot. 06à 66 50. épurée 71 à 7150 ; d oeil lette rousse 75 50, soutirée 81, surfine 84; de lin 80 50; de camellne 76; de chanvre 79. . m Rouen, Il juin.—Huile de colza disp. les 100 kiU 73 50 courant du mois 74 à 73. Graiiso* oléaginenses.—Lille, 12 juin. — Colza l hect. 18 ,à 21 lr.; de mars 17 îi 15 50. — OffiiWeite 20 58 à 2-2. — Lin du pays,21 à 23 50, étranger 20 à 23 50.—Cameline 19 a 17.—Chanvie 12 à 13 fiO.. Tourteaur de colza les 100 kil. il 50 a 12 fr., d œil- istte 12, de lin id, id. étranger 15 50 à 16 50, de cameline 13, de chatiVre 13. Savons.—Paris, 13 juin.—Savon disponible belle qualité »», ordre de livraison 80 à 86 50. •Vins et esprit».—Paris, 13 juin. — 3/6 disponi ble et courant du mois ,57. Lille, la juin,—Genièvre 35 fr.—Anis 40 lr. Bordeaux; 11 juin.-r-Armagnac 38 50.—Marmandé 37 23-r-Pays S2 »».—Tafia 90 à 85. Le 3/0 reste stationnaire à 50 fr. en disponible. Bestiaux.—Marché de Poissy du 12 juin.—Vente peu active. Prix sans changement.  Les veaux seuls .ont éprouvé un peu de hausse.   Amenés. Vendus. 1^ 2* 3« Bœufs.;.. 1715  1557 » 9i » 84 » 72 Vaches... 157 135 j » 84 » 7* » 58 •veaux.... 980 093 1 26 1.10 » 92 Moutons. 8274 6979 1 23 1 04 » 80 Paris. 13 juin. — Les ventes, à la criée des Prou- vaires des 11 et 12 juin, se sont elevées à 16,711 kil, aux prix çuiyans Bœuf : pan 70 à 82 c. le kil. : aloyau et filet 82 ç. à l fr. 02; I>as3e boucherie 58 a 60 c.—Vache ; pan 70 à 82 c. le kil.; aloyau et filet l Ot à 1 fr. ôtSi ba^se boucherie 62 c.—veau : entier et demi 74 c. a l fr. 2i le,kil.; cuissots 82 c. à 1 lr. 24.—-Mouton : entier et demi 70 c. à 1 fr. 661e kil.; dito sans épau les.» 00 à 110; gigots et carrés 1 08 à 1 tr. îk). — 1 Porc; Entier et aemi-^O à 90 c. le kil. - J Sacrés. — Havre, 12 juin. — 100 barriques brut bonne 40.de 54 50 à 6a tr.; 250 dito à livrer à GO; 100 barriques bonlie 4< 60 25; 70 quarts bonne 4 e usine 02 50; 170 quarts Havane ent. 28 50. Bordeaux, 11 juin.*-Les sucres sont peu deman dés. On tient cetix des Antilles à 59 50, et le Réu- aiou à 60 60 le type; Une partie de 50 barriques sucre Porto-Rico a été traitée à prix secrets. Kotre cours pour cette pro venance varie dé 24 à 28 fr., suivant qualité. Cafés;—Havre, ,12 juin.—1,700 sacs flaïti des Go- naïves de 53 50ii 54: 800 dito Rio U 41 ; 90 dito lavé de 45 à 16; £0 sacs dits Javjé t». .. Bordoaux, 11 juin.—Lés spéculateurs continuent à ne pas faire d offres sur lus Gaffe ; aussi les ventes sont-elles peu importantes. En Guayra, un lot de 22 sacs a valu de 115 à 1 20 le kil. ont., et on Sati- tiago 42boucautsont changé de mains dans les prix do 1 40 a 1 50 le feil. Cotons.— Havre, 12 juin.,-wLes letlres de Kiver- pool du mercredi 11 signalent une journée active: 1 8,000 balles de^ente, en haussé, dans certains cas,; de 1/8 d. Ces avis n ont pas produit d effet sur notre",cours,bourse/cours/commerce
210,siecle,1858_03_05,1,1,Page1_Block151,"Savons.—Paris, <5 mars.—-Savon Mou pâle ferme 87 »», dito moyen 8fl »», dito doux »» à »», savon, blanc 118 à »»», escompte 3,0/0. « : Vins et èsprîtH.— Paris, 4 mars. —Montpellier^ disponible s» àn»;fln-4 I ®qté, flO degrês,fli à £ Suifs.—paris, 3 mars.—Les suifs de la boucherie  se sont vendus en moyenne dans Paris 130 fr. 70 les 100 kil.; pour le dehors, la moyenne de c<»rventes  s établit sur le pied de 123 50; c est une hausse de 50 c. sûr le cours du précédent marché. 11 irste des suifs de la production de. la semaine invendus.     1 L entrée dans Pans est de 7 fr. 20 par 1D0 ru. • Suif en branche au denors 98 75 les. 100 kil. — Chandelles dans Paris l iO ;-,0 à »»» fr. les 100 kil.— Bougie stéaf ique l r « qie 2 90 à 3 »» le isil. Oléine 93 à 94 fr. les 100 kil. hors barri re rare -Siéirine 240 à >»>» »» les 100 kil. Grains «-farines.—Marché de Paris du 3 mars. — I.e blé n a encore pas varie de prix : 2i aO à 27 fr. l hc ct. î  2 —Seigle cainie. de la a io 50 ies 116 kil. —Orge 15à 16 50 les 10» kil. Hors barrière; peu demandée.—Avoine un peu plus off-rtr, niais encore bien tenue : 29 50 è 3-2 fr. les 3 hecf. hors barrière. —Son 9 10 à 10 fr. les/325 litres.—Farine M à 48 et 49 ff. le sac de 159 kîl. Saeres.—-Bonne demande au Havre, avec des prix fermes. On a vendu encore 100 bques des Antilles à livrer à 58 fr. la bonne  4 e acq., et 160 caisses Ha vane disp. dans la parité de 36 fr. les 50 kil. ent. Cafés.—On a vendu aux enchères 125 sacs de café Bio avariés de 100 à 105 fr. les 50 kil.  aGq. Cotons.—Marché un. peu p)us calme, mais sans changement de p^ix. Ecs«iaivx.-r Halle aux veaux, 2 mars.. — Veaux ain. 280. vendus 267 ; 1™ qté 1 80. 21? 1 62, 3«1 54. La Chapelle.—Les ventes sesont faites activement, sans variation Sur le cours du dernier marché. Il a été amené 534. veaux.   , _ l«e qté 180 à 190 fr., 2° 160 à 170, 3 e 140 à 150. Vaches laitières amesées 73, rendues 53, de 350 k 550 fr. f Vaches grisées amenées 9Î» Tendues 16} l! e qU51. 20,2« 110,3« 80 C.   v - v",cours,bourse/cours/commerce
211,constitutionnel,1859_07_14,1,3,Page1_Block190,"Jouissance janvier. C0UPT01B D ESr.O*ètB, jo liiSS[. . -■ tpr.r 9bléans, jouissance avril.. . -. .-. .-..t-.-. ... nobd , jouissanop janvier* • tV« * 4 « «« -A • nohd , actions nouvelles, jouiss,. janvier. .(Emissiep; a .575 ]tr.,-3f)0 !fr. payés) .... est, jù^IssSnçe mai.^;. kbis : k VMe Kr mébitefabânie..  Jouissance mai iiDi, jouissance jaqj^ f . t ^.}j. fW .v oéBit, jeuissance avril..-.. . f : . t ... société actbichibnnb , jouiss. janvier.. ■. gbaissessac a BÉziEBs, jouissance oçt DACPHiNÈ, jouissance janvier.. .:........ (Actions de 500 fr., 250 fr. payés)...... ARDENNES  ET t ws«noB!^s. ja^yier ABDENNBg ET l o ISB , HOUvèaU..,., 250 f r. 1 payes*/ îuuàas.-Janvier; vicroa-EMMANUKL, joui^s^nCe juin v (Actions cbe 500 ir., 450 fr. .payés)..... gbande compagnie eusse. (Actions de 500 fr.; î® fr. payés)... ; sabacosse, 400 fr. payés..... ;",cours,bourse/cours/commerce
212,siecle,1857_02_11,1,1,Page1_Block30,"... ( cpt y&. i 15 midi nouv ; j . janv :...; [ ept 500 fr. payés 7. 15 ÔDB8T ( cpt j . eoct ., tout payé ... !■ 1s SMRBhCEiniUL, . ii S cpt j; jariv . 450f . payés ! i : skkévb.t.( cpt j . j . mvj 379 f. - payés .) i5 iànrr- baïibbbt. ;... Vcpt j. Janv .. 300 £, payés j «5 àbbiçsses, j. iapv ..l cpt asof . payes ;..;..;; i, i» - ifcztMB ... .. :.-.;t cpt  J. oct, fÛO f. pàyôs. t ;15 SOCIÉTÉ ACTOICH.... ( Cpt / j . janv . 3251. payés i 15 LA TESTE...:.,...... 1 cpt SARDE ( Cpt j . liée., ss0 i. payés i 15",cours,bourse/cours/commerce
213,le_pays,1858_12_08,1,3,PAG_3_TB000112,"2 \ Havre, 18U6 5 0/0 j. Sept 900 .. [qj ....... çntnr. -yoligilta j. juin. ept .....675 § j ? 1848 6 0/0 j. Juillet 1025 .. . 250 fr. payes........ 15c .. à ... à... f I Strasb. à Bi\!e 18Û5 j. Octob 950 au 50 30 ...... CRÉDIT MOBILIER jouiss. cpt. 965 .. 990 .. 965 .. 987 50 ...... gf Lyon, 5 0/0 j. Octob. 1858 1025 .. fjf ..j 30 ..! .... Janvier 1858 15c. 965 .. 990 .. 965 .. 990 .. à ... è ... «M Ouest. 1855 j. Décemb. 1857 1000 ..",cours,bourse/cours/commerce
214,constitutionnel,1857_11_02,1,3,Page1_Block21,"En farines à livrer, on cite tins vente dune as sez-forte partie de farine de Beaùce bonne mar que, livrable courant de ianvier, au prix de 48 m Le mouvement des affaires en farines quatre -marques est limité aux opérations par la livrai son ae on mplth i 11 paraissait devoir résulter de la baisse, ,sur le ediirs cîhiër, pdr suite do la livraison des 12,000 sacs farine DarMat queiunis ayons signales, livrai son réservée p(iur aijjour d hui- Dans, cette, alter native , des realisajioiii! duraient été faites a Ç2 fr. Une vtfntô conclue à ce prix coiîîporte la condition de marchandise, t n magasin, quàîiia apnoncée ; en bon état et à. prendrë tëllft quelle   - , Dans la journée on a.payé 63 fr.j en ce moment qildtîe hfiures-et demie, quelques vendeurs tien nent 54 fr., .s a® vouloir se soumettre toutefois aux -stipulations exigées de farines iraichés et de li vraison aujourd hui môme aux destinations dési gnées. Il est donc, quant à présent, » de toute im possibilité de fixer .le cours définitivement arrêté tioili  ce âuî Concerne le mois ,açtuel. , , , ; ; .   Il n a pas été question de marchandise à livrer,, même pour novembre; nous nous abstenons de désigner aucun cjurs. < - Blés (l hect, 112). — De 22 50 à 25 95 les 1 -100 kil.     Seigles (l hect- 1 /2).— Les affaires en seigles sont assez calmes. Les ccJtirs restent à peu près les mê mes que mercredi; soit .de,17 fr. à 17 50 pour les béniles qiiaUtés, par 115 Mil, réglés. , -, .Orges (l hect. l/,2). — Entrée dans Paris , 1 fr. 92 par 100 .Kl. - • ; ;Lda prii sont plus faibles : on cote 17 fr. 50 a 17 75 les bornes qualités de là Champagne; les sor tes secondaires 17 fr. : 11.ne slest fait que peu d af faires dépuis le dernier marché. , . • Le tout par 100 kil., il prendre hors barrière. . ■ Avoines (les ït hect.) — Entrée dans Paris, l.fr. 50 par 100 kil. .   Les avoines ont-fléclii; quelques détenteurs ont cédé des qualités supérieures de Picardie- de fr. 32 50 à 33.50 ; sortes ordinaires fr. 31, à 31,50 les 150 •• Ifîl llATS PflTlQ v:.  Des avoines de Jleauce ont été obtenues à.fr. 32 50 les 150-kil. . . - . .   . Issues (les 100 kil.} — La vente des issues est très calme; elles sont offertes en baisse. Sons les 100 kil. 13.50 à 14; recoupettes fines fr. 14 à 14.50; .remoulages ordinaires 17.50 à, 19 «fr,; d° blancs 19 à.20 fr.; extra 22 à 23. fr., et môme. 24 fr. ; .. • ■ 1 ■ - * ■ ■ DIMANCHE, — Les déclarations il la caisse de service^ dans la journée du 31 octobre, compren nent : . ■ - , V ■ . . 2,833 sacs de farines de lre qualité, livrables dans lés 30 jours, de 43 à 53 fr., prix moyen 49.45 les.,157 kil. (31-50 les 100 Ml.); . Et i,i32 sacs à cuisson. La baisse des blés a encore été générale sur les marchés des aépartemens, dont nous avons reçu les avis ce matin. Cette nouvelle baisse est, .en moyenne, de 75 c. à 1 fr. par hect. L avoine a, aussi. baissé :»ur pre points.",cours,bourse/cours/commerce
215,le_pays,1858_04_23,1,3,PAG_3_TB000150,"?? ..l 2 50, jo,,Iiss. Janv. %8 T. p Sic,! ..... i 7G5 .. ,à ... à .. «* Lyon S 010, ]. Octobre 1855 271 b, 277 50 115 ¡2fJ ..Ï 10 ..iHlai jouiss, Janv. 1858, ept. 530 .s 5!<  625 ..î 515 fe < Paris-Lyon-Méditerr. S 0/0. 215 275 .. f,  2 50.. Sic.; 522 50 t22 50 520 .J 522 50 à » ..}» ... B \ Ouest, S OiO j. JMT. 1858... 2)7 .0 e7. bé ^ 50» ? .. 2 MoCE ;Tj JOUI33. (kt 1857 CPL-L ..i i 61d ..» ...... S J - 4 0/0 jouisi. Janvier» ......... î»l ......i t.. ? Sic.}-; ... î.. 615 ..h . » ... 3 f Midi, a 0/0 j. Janv. 1858.... 275 .. 275 .",cours,bourse/cours/commerce
216,constitutionnel,1858_09_02,1,3,Page1_Block99,"80IJLET!,?* JkfiRICOLl. HALLkAUX FARIMXS.—Paris, 31 aoûtj MARDI.—Les déclarations à la caisse do   service; dans la journée du 30 août, comprennent : 1,138 sacs de farines de i™ qualité, livrables dans les -30>jours; de -47 à 52 fr., prix moven 49 fï. 49 les 157 kil. (31 fr. 52 les 100 kfl.).  Et 1,310 sacs à cuisson.   La position n offre pas de changement sensible ; cependant on remarque peut-être un peu de te nue sur les prix. Les farines hors ligne 11e se céde raient plus au-dessous de 52 fr. Les marques de choix de 50 à 5f fr.; du 49 à 50 fr., on ferait de très bonnes sortes; les dernières qualités de 47 à 48 fr. - _ ■ -, Les farines quatre marques disponibles se sont placées aujouid h ui facilement à 51,fr.; elles sont tenues en çe moment 51 fr. 50; prix contre lequel résistent les acheteurs* - qui semblent compter sur les livraisons faites ce soir pour flbtenir à de meil leures conditions. . Septembre seul, offert à 50 fr. 50, trouverait acheteurs à 50 fr. 2 Octobre seul a obtenu 50 fr. 50. Les quatre derniers et les trois derniers mois sont cotés 50.50. Les six mois d octobre ouïes quatre mois de no vembre sont proposés à 51 fr. JLes quatre premiers mois ontpeu de vendeurs à 51.50. . KQnvBiMMt su «.nuit, 1 er septembre. Aïïivage*du joui ..... 5.476 q. 16 Tentes dujour......... 5.833 60 Restant de la veilla..... .11. S05 . 48 Cours moyen de la halle du l 30 99 Sont $ î de la caisse dv 31 31 56 vnvu n MnroHimuHi Gruaux 17q-.27k.dt 42 05 -- i.-MiMUe 328 13 i9.95 — S  -Ï 1. 05 25 45 i ~ t- 4» %, B ». »„ » liUiS.iOX * «. * c « •,..» 39 25 ji. s? Relevé , t 39 25 i * Vente & la oiiè»..ï   > » », » : vsawss AUVSMJ . i livrer 5.408 65  29.95 Cuisson^. ...-. t v.. .v   > j > i . b .9 Revente,..J   »   » , »; » 11 - i-- i",cours,bourse/cours/commerce
217,constitutionnel,1860_12_20,1,3,Page1_Block16,"FEUILLE DE COMMERCE. MARCHANDISES. —19 décembte. «•dualité.,., n » 33 50 Inférieures.. » » ? •, vakinss, le ?ac de 157 k. 4marqu3s.. . » * »-* Disponible.. . 63 25 63 50 Courant... .. 63 25 63 50 Décembre » » » .*». 4 l*»m. 1861 62 50 » » savons , 6*0. I 0/0. Bleu p&le ferme... si i —moyen 91. ». Blanc, 1  quai,.... Il7 s 2« qualité.........1H »  ■ nn»i De France .v. . 135 s de Russie^........ 138 - » . tÇCRBS. Martiniqué et Guadeloupe bonne 4*........ 106.4.0T Indigène bonne 4* 73  50 GAVis. Haïti.......... ï 20 » » Moka......;..» S 60 t 80.",cours,bourse/cours/commerce
